Digital Emerging Skill,Digital Count,Green Emerging Skill,Green Count
solve technical problems,43,resource-efficient technologies,16
debug software,43,impact investing,11
javascript,41,produce sustainable products,11
design application interfaces,41,seek innovation in current practices,10
automation technology,40,ecosystem management,9
nosql,40,collaborate on international energy projects,8
use scripting programming,38,,0
systems development life-cycle,38,,0
data models,37,,0
design cloud architecture,37,,0
c#,36,,0
conduct ict code review,35,,0
data analytics,35,,0
principles of artificial intelligence,34,,0
e-commerce systems,34,,0
