Job Title Group,Job Postings,Avg Digital Skills,Avg Green Skills,Avg General Skills,Top Digital (5),Top Green (5),Top General (5)
Other,141,10.1,0.4,19.5,"computer engineering, execute software tests, software metrics, automation technology, sql","promote sustainable energy, domestic cooling systems, social entreprise, environmental management standards, produce sustainable products","think analytically, develop production line, assume responsibility, write job descriptions, design graphics"
Software Engineer,44,11.4,0.6,17.1,"java (computer programming), solution deployment, sql, software metrics, devops","impact investing, resource-efficient technologies, green building standards, sustainable technologies, detect bottlenecks","assume responsibility, design customer experiences, design graphics, develop production line, solve problems"
Analyst,44,10.6,0.2,20.9,"data analytics, python (computer programming), sql, data quality assessment, business intelligence","impact investing, produce sustainable products, seek innovation in current practices, design indicators for food waste reduction, manage environmental impact of operations","think analytically, statistics, design graphics, make data-driven decisions, business analysis"
Frontend Developer,27,11.7,1.0,16.9,"javascript, css, maintain responsive design, typescript, tools for software configuration management","impact investing, promote sustainable energy, resource-efficient technologies, ecosystem management, promote environmental awareness","develop production line, design customer experiences, react to events in time-critical environments, assume responsibility, solve problems"
DevOps/Platform,24,14.6,0.6,22.8,"devops, solution deployment, jenkins (tools for software configuration management), design cloud architecture, computer engineering","resource-efficient technologies, detect bottlenecks, engage others in environment friendly behaviours, collaborate on international energy projects, perform environmental remediation","coordinate security, assume responsibility, manage maintenance operations, operational research, manage a team"
ML/AI Engineer,21,12.5,0.3,23.8,"python (computer programming), solution deployment, machine learning, computer engineering, ml (computer programming)","resource-efficient technologies, process harvested honey, corporate sustainability, hybrid vehicle architecture, social alliances","design graphics, develop production line, manage prompt book, evaluation theory, tuning techniques"
Cybersecurity,21,11.4,0.5,21.1,"cyber security, develop code exploits, penetration testing tool, set up cybersecurity training programmes, handle cybersecurity incidents","produce sustainable products, ecosystem management, abide by regulations on banned materials, environmental management standards, impact investing","coordinate security, think analytically, develop procedures in case of defects, assume responsibility, security engineering"
Backend Developer,20,12.6,0.4,18.2,"postgresql, c#, software metrics, computer engineering, design application interfaces","seek innovation in current practices, collaborate on international energy projects, sustainable technologies, promote sustainability, sustainable development goals","test electronic units, develop production line, assume responsibility, design graphics, electrical engineering"
Data Scientist,20,12.8,0.2,23.9,"python (computer programming), sql, data science, apply statistical analysis techniques, data models","resource-efficient technologies, develop innovative mobility solutions, corporate sustainability","assume responsibility, statistics, mathematics, communicate with stakeholders, develop production line"
Game Developer,17,10.4,0.1,14.5,"debug software, develop virtual game engine, 3d modelling, computer simulation, c++","collaborate on international energy projects, seek innovation in current practices","develop production line, design graphics, assign codes to product items, provide user documentation, maintain equipment"
Full Stack Developer,15,16.1,0.0,16.6,"postgresql, java (computer programming), debug software, javascript, computer engineering",,"develop production line, design graphics, interact with users to gather requirements, design customer experiences, solve problems"
Data Engineer,13,16.7,0.5,18.4,"data engineering, teach computer science, python (computer programming), manage findable accessible interoperable and reusable data, java (computer programming)","urban sustainability, green automotive technologies, develop innovative mobility solutions, hydroelectricity, corporate sustainability","design graphics, innovation processes, develop production line, training subject expertise, aerospace engineering"
Mobile Developer,11,11.6,0.4,20.8,"tools for software configuration management, mobile device software frameworks, swift (computer programming), ios, e-commerce systems","sustainable technologies, promote sustainability, resource-efficient technologies, sustainable development goals","design graphics, innovation processes, banking activities, develop production line, think analytically"
Cloud Engineer,6,11.5,0.2,19.3,"solution deployment, manage ict virtualisation environments, ict infrastructure, automation technology, operating systems",resource-efficient technologies,"design graphics, provide training on technological business developments, develop production line, childbirth, ensure operability of protective equipment"
Solution Architect,5,11.6,1.2,19.0,"machine learning, data science, automate cloud tasks, propose ict solutions to business problems, deliver online training","ecosystem management, collaborate on international energy projects, social alliances, assist people in contaminated areas","communication, interact with users to gather requirements, assume responsibility, provide ict consulting advice, construct individual learning plans"
